tweets,languages_spacy,languages_langdetect
"RT @Nicolas_Tamalet: bravo à tous les speakers #AXA de ce #DevoxxFR @oyouf @guiChervet
@RaphaelSaunier @SamuelPouyt  #devoxxfr  @DevoxxFR @…",unknown,fr
Un grand merci aux organisateurs de @DevoxxFR et merci aux personnes qui sont passés nous voir au stand de… https://t.co/A6vcIwallM,fr,fr
"RT @MansuyDiane: J'ai particulièrement aimé ma journée à #DevoxxFR, mais c'est passé bien trop vite ! Alors je suis rentrée chez moi et j'a…",fr,fr
RT @PetitMel_issa: Touche couleur 'done' pour ce petit brainstorming final ! #DevoxxFr https://t.co/dusJOEVFoc,en,fr
@nodexl @SantchiWeb @releaseteam @CloudExpo @ServerlessFan @AzureDevOps @mike_pfeiffer @DevoxxFR @mathewcostello… https://t.co/jqhVVdHJHt,unknown,en
"RT @aurelievache: Merci encore d'avoir assisté à notre talk.
Les slides de notre présentation ""Docker, Kubernetes &amp; Istio : Tips, tricks &amp;…",fr,fr
Petite précision post-devoxx : notre keynote (antonio/zouheir et nicolas) était bien évidemment un sketch à prendre… https://t.co/Oxx3rJVXhh,fr,fr
@DevoxxFR @BenjaminGakic Célèbre même avec un verre à la main  dès l'image de prez de la vidéo !!!! Mais au plaisir… https://t.co/ExRHstS8wq,fr,fr
Meetup ce soir à @wearedaveo pour parler de #ChaosEngineering &amp; #Observabilty. Session de rattrapage pour ceux qui… https://t.co/4w4BvJiOVE,fr,fr
RT @ptibulle: ARKIT présenté par @tjkev à #DevoxxFR en #sketchnote https://t.co/O54MxVSQP8,unknown,fr
"Hello public de #DevoxxFr, 

Le code et les slides de mon talk sur #ReasonML sont dispos ici !… https://t.co/0o0vlhYhbJ",unknown,fr
"Coucou public de #DevoxxFr, les slides de ""Maroufle ton CSS avec Flexbox et CSS-Grid"" sont dispo ici !… https://t.co/JaUjI6wJz9",fr,fr
"J'ai particulièrement aimé ma journée à #DevoxxFR, mais c'est passé bien trop vite ! Alors je suis rentrée chez moi… https://t.co/1OA7kaKpEv",fr,fr
RT @CA_TS_: CA-TS est présent du 17 au 19 avril à l'occasion de la 8ème édition du @DevoxxFR . Nos équipes IT et Ressources Humaines vous a…,fr,fr
"RT @GatlingTool: Last week, the Gatling team went to @DevoxxFR! A huge thanks to the Devoxx team and to all our users we met at our booth o…",en,en
"Last week, the Gatling team went to @DevoxxFR! A huge thanks to the Devoxx team and to all our users we met at our… https://t.co/G9DpaX6EaN",en,en
"RT @msdev_fr: [Retour sur #DevoxxFR] VS @code, c'est l'IDE idéal pour collaborer. 👨‍💻👩‍💻
@olivierleplus de Microsoft et @TiffanySouterre, D…",fr,fr
"RT @AXAJobs_fr: À #DevoxxFR, on voit la vie en rose 😎 ! Vous avez été nombreux(ses) à nous rendre visite, c'était DINGUE ✌️. Un grand merci…",fr,fr
"RT @ApsideGroupe: [ #JeuConcours DEVOXX 📍 La grande Question ]
🎉Félicitations à @Esoriak qui remporte son Cube Connecté ! 🎉
Nous nous rappr…",unknown,fr
Touche couleur 'done' pour ce petit brainstorming final ! #DevoxxFr https://t.co/dusJOEVFoc,en,fr
"Oui c'est les vacances, mais n'oubliez pas la soirée du 14 mai !
Debrief de #DevoxxFR, talks @java_hipster et un pe… https://t.co/dN0V90fx1p",fr,fr
A full theater listening @vmassol clarifying @Docker TestContainers at @devoxxFR last week: https://t.co/bYQ3LmvEXf,en,en
"RT @takimafr: #JeudiPhoto 📸 :  Les mines réjouies de nos chers boss... un petit souvenir de @DevoxxFR 

#devoxxfr #takidevoxx #tech #develo…",fr,fr
"@aheritier I did the same at #devoxxfr , watching some talks that will be at @RivieraDEV because there I know I won… https://t.co/nS3jGRXaoq",en,en
"RT @bluxte: The slides of my talk ""Inside the JVM - Follow the white Rabbit"" at @DevoxxFR are online! https://t.co/7sBN0St5zI",en,en
"[Retour sur #DevoxxFR] VS @code, c'est l'IDE idéal pour collaborer. 👨‍💻👩‍💻
@olivierleplus de Microsoft et… https://t.co/vwivDqG6rc",fr,fr
RT @JoGrenat: Encore un départ de @DevoxxFR la tête pleine d'idées et de choses à tester ! Ça commence à devenir de plus en plus la famille…,fr,fr
"#Aperops is coming !
Ce soir avec @Societe_Elosi, les retours du #devoxxfr 2019 https://t.co/RK4HcH4xND",en,fr
"RT @im_flog: #DevoxxFR à peine terminé, pas le temps de chômer il faut peaufiner la présentation de jeudi prochain au @BordeauxJUG sur notr…",fr,fr
RT @LunatechFR: En direct du troisième jour de  @DevoxxFR Aidez @manuremy  à gagner le lot du jour en likant ou retweetant cette photo  #De…,fr,fr
RT @PALOITFrance: Lénoard LYS @LysLeonard Consultant Blockchain @PALOITFrance anime une conférence à la 8ème édition Devoxx France @DevoxxF…,unknown,fr
"RT @hboutemy: les slides de mon talk ""Java est toujours gratuit (en GPL)"" à @DevoxxFR sont disponibles : https://t.co/B7OcbqME8b , en atten…",fr,fr
RT @Zikas_r: Je tente ma chance pour assister à @DevoxxFR avec @AXAJobs_fr 👍 ! #AXAminviteaDevoxxFR,unknown,fr
RT @Werner__Michael: #AXA #DevoxxFR @AXAJobs_fr https://t.co/s5rHRyuBNR,en,de
"RT @nodexl: #devops via NodeXL https://t.co/S0cerTIIPv
@santchiweb
@releaseteam
@cloudexpo
@serverlessfan
@azuredevops
@mike_pfeiffer
@devo…",unknown,en
N'allant jamais sur Twitter j'ai été surpris de tomber sur une vidéo de moi en me baladant sur les tweets du… https://t.co/xQuLXTskx5,fr,fr
RT @Inoco_paris: L'équipe est aux #DevoxxFR ! https://t.co/VdohzXHdPk,unknown,fr
"RT @ZenikaIT: [BLOG] Être ou ne pas être manager, telle est la question. Après son passage à la conférence de @nhelleringer  pendant @Devox…",fr,fr
"RT @EaGuerch: 📌Après la conférence archi 🎤 avec @FabriceGueant https://t.co/cIYt5o7z7J , j'ai contribué à un livre 📖 sur les tests grâce à…",fr,fr
"RT @jpetazzo: Je n'ai pas vu ce talk, mais les slides valent déjà le détour ! J'ai découvert plein d'outils et d'astuces que je ne connaiss…",fr,fr
"RT @ju_derancourt: Si vous avez aimé notre talk sur #JUnit5 à #DevoxxFR et que vous voulez en savoir plus, je vous invite à jeter un œil au…",fr,fr
"RT @maude_cahuet: ""Comment concevoir une API RESTful ?"" avec @guiChervet #DevoxxFR https://t.co/CR8Z87WVtS",en,fr
@DevoxxFR was so exciting.. But now I feel like a runner after a marathon.. Post Marathon Syndrome !,en,en
"[ TechTrends XEBIA ] Vu qu'ils sont partis comme des petits pains sur notre stand à DEVOXX, certains vous ont peut… https://t.co/lShufAFiU4",fr,fr
RT @PALOITFrance: Lénoard LYS @LysLeonard notre consultant Blockchain @PALOITFrance démarrant sa présentation lors de la 8ème édition Devox…,fr,fr
RT @blep: La salle se remplit ! #DevoxxFr https://t.co/fXaXD8Wi2R,en,fr
RT @PALOITFrance: Brice LEPORINI @blep CTO @PALOITFrance anime une conférence à la 8ème édition Devoxx France @DevoxxFR #DevoxxFR : SYNCHRO…,unknown,fr
RT @witrdotnet: Customized JRE sizes and container awareness @DevoxxFR https://t.co/uRb9cr3zEs,en,en
@Devoxx @DevoxxFR @thekitze next step: stop with low quality t-shirt nobody will wear. You can't forbid people to t… https://t.co/JfdgiD2De5,en,en
"[BLOG] Être ou ne pas être manager, telle est la question. Après son passage à la conférence de @nhelleringer  pend… https://t.co/JCRPm96yCJ",fr,fr
"RT @philippepeter: @DevoxxFR C’est déjà fini! Sentiment d’avoir quitté 10000 potes, Merci à l’organisation et à la communauté c’était top 👏…",fr,fr
"RT @framiere: The slides of ""Apache Kafka, patterns/anti-patterns"" we did at #devoxxfr with @jlboudart are here: https://t.co/xRlJ9rmICP",en,en
"RT @cael35: Merci encore à toute l'équipe @DevoxxFR pour leur accueil et l'organisation ! :-)
Ma présentation du projet @stamp_project est…",fr,fr
RT @JosePaumard: I just published the slides of my #DevoxxFR tools in action: Construire son JDK en 10 étapes. Enjoy! https://t.co/MD6iZrq6…,en,en
"RT @gcuisinier: Les slides de ma présentations ""Mot de passe oublié ? Plus jamais avec WebAuthn"" : https://t.co/7XGDCtHZ9M 
Les démos : htt…",fr,fr
"RT @takimafr: #DevoxxSouvenir: Des rencontres, des échanges et même des fous rires, retrouvez les sponsors de cette édition @DevoxxFR... av…",fr,fr
"À #DevoxxFR, on voit la vie en rose 😎 ! Vous avez été nombreux(ses) à nous rendre visite, c'était DINGUE ✌️. Un gra… https://t.co/8butRbNqPs",fr,fr
"#DevoxxSouvenir: Des rencontres, des échanges et même des fous rires, retrouvez les sponsors de cette édition… https://t.co/EWAw8qV7LF",fr,fr
Un grand merci à tous les sponsors https://t.co/DL1hz3HqjW,en,fr
RT @Devoxx: 😂  #SooTrue https://t.co/1Mc1c7Eqzr,en,nl
"#JeudiPhoto 📸 :  Les mines réjouies de nos chers boss... un petit souvenir de @DevoxxFR 

#devoxxfr #takidevoxx… https://t.co/VpOhJs5yVb",fr,fr
"RT @framiere: Les slides de l'université @devoxxfr ""Apache Kafka, de haut en bas"" avec @jlboudart et @Nromanillos sont ici https://t.co/IC1…",fr,fr
"RT @JPeachseed: Aujourd’hui il y a deux stack dans @springframework , mais @bclozel  et @snicoll nous montrent comment utiliser le WebClien…",fr,fr
"RT @Stephan007: @Devoxx @collignont @idriss_neumann @gunnarmorling @DevoxxFR @lescastcodeurs If interested, the Devoxx Belgium CFP opens en…",en,en
RT @vizionr: Slides de ma prentation @DevoxxFR sur @Hashicorp Consul @CriteoEng https://t.co/3en2qg0IrM,unknown,en
RT @estelandry: @davinkevin @chethaase @romainguy @DevoxxFR @kotlin @jetbrains Tu pourras le (re)voir aussi à @SunnyTech_MTP 😊,unknown,fr
"RT @FearThePonies: @MiKaDo_O @DevoxxFR Grrrrr, ce n'est que partie remise 👿 Cap sur @SunnyTech_MTP et nous verrons bien si vous continuerez…",fr,fr
RT @ponceto91: @FearThePonies @MiKaDo_O @DevoxxFR @SunnyTech_MTP Je vous y retrouverai de pied ferme ! 😈,fr,en
"RT @doppelganger9: « D’Architecte à Metarchitecte : une évolution nécessaire. » 
Réflexions sur le positionnement du rôle d’architecte dans…",fr,fr
"[ #JeuConcours DEVOXX 📍 La grande Question ]
🎉Félicitations à @Esoriak qui remporte son Cube Connecté ! 🎉
Nous nous… https://t.co/pWC0ysDF1n",en,fr
RT @BelieveIt_Fr: Une partie de la Team Believe It était au @DevoxxFR  la semaine dernière : cette grand-messe s'adresse aux développeurs p…,fr,fr
"RT @romaindso: Du deep-learning avec reconnaissance d'image côté frontend. @pierre_paci nous explique comment et pourquoi 👌

🔹️frontend en…",fr,fr
"RT @framiere: Les slides de l'université @devoxxfr ""Apache Kafka, de haut en bas"" avec @jlboudart et @nromanetti sont ici: https://t.co/IC1…",fr,fr
Une partie de la Team Believe It était au @DevoxxFR  la semaine dernière : cette grand-messe s'adresse aux développ… https://t.co/QmFI6e35qs,fr,fr
RT @altolabs: après l'effort le réconfort pour l'équipe @DevoxxFR #DevoxxFR https://t.co/7tLBUCX8Kg,unknown,fr
"RT @_JeremyVoisin_: @jollivetc @DevoxxFR @ApsideGroupe Merci à toute l’équipe de @DevoxxFR, à toutes les personnes de l’organisation et à @…",fr,fr
"RT @jollivetc: Merci à toute l'équipe de gilet rouge de @DevoxxFR  pour cette édition réussie, aux gens qui sont venus à notre présentation…",fr,fr
@collignont @Stephan007 @idriss_neumann @gunnarmorling @DevoxxFR @lescastcodeurs Practice makes Perfect 👍,en,en
"RT @idriss_neumann: @QuarkusIO supersonic, subatomic Java by @clementplop and Emmanuel Bernard at @DevoxxFR winning combination to make #Se…",en,en
"RT @AlexisD54: Merci à toute l'équipe @DevoxxFr pour ces 3 jours.
Merci de nous avoir fait confiance pour notre REX de Java 8 à Java 11 sur…",fr,fr
"RT @YesWeScale: [#Blog] La #WeTribu était présente à @DevoxxFR. Découvrez cette semaine les retours d'@almorelle, @KolaczAlexandre, @bcadio…",fr,fr
"RT @gui_gillon: The slides of my #DevoxxFR tools in action: ""When Open-Source comes to the rescue of API's security"". @DevoxxFR @GraviteeIO…",en,en
RT @altolabs: passionnante session autour de la #MixteReality et l'#IA avec les @HoloLens par @danvy @sbovo et @cmaneu #DevoxxFR #HoloLens…,fr,fr
"RT @DevoxxMA: #DevoxxFR 2019 : Another strong edition with lots of positive energy, awesome team work, great presentations &amp; discussions 👌💪…",en,en
"#devops via NodeXL https://t.co/S0cerTIIPv
@santchiweb
@releaseteam
@cloudexpo
@serverlessfan
@azuredevops… https://t.co/wmdzeFveEz",unknown,en
RT @FGRibreau: [Fr] Les slides de « Votre API passe-t-elle le contrôle technique » sont en ligne ⭐️ https://t.co/pxDLns9jfI #DevoxxFr @Devo…,fr,fr
RT @deniswsrosa: Hey #devoxxfr here are the slides and code of my presentation about #fulltextsearch https://t.co/NEJb6Pft9B,en,en
RT @riduidel: Devoxxfr – c’est déja fini ? https://t.co/G2YjaGzerL,en,ca
"RT @groupehn: Super stand, merci pour l'accueil ! On tente notre chance pour le CES de Las Vegas 🤞 #AXA #DevoxxFR @AXAJobs_fr https://t.co/…",fr,fr
Devoxxfr – The boring architecture https://t.co/bUqaVHRjpW,en,en
"@romaintaz @estelandry Désolé #devoxxfr je spoile:

https://t.co/3vzAArQLPx",unknown,fr
"@framiere @DevoxxFR @jlboudart @nromanetti Cetait très bien mais.... (ya toujours un mais!)
Ça manquait furieusemen… https://t.co/LuqAfLVxm9",fr,fr
"Thanks a lot. Thanks to all attendees who are blindly buying their tickets, thanks to all speakers who are doing so… https://t.co/9zRnhhI4Z1",en,en
"Merci à toute l'équipe @DevoxxFr pour ces 3 jours.
Merci de nous avoir fait confiance pour notre REX de Java 8 à Ja… https://t.co/izj45wM8Ty",fr,fr
"Les slides de l'université @devoxxfr ""Apache Kafka, de haut en bas"" avec @jlboudart et @nromanetti sont ici: https://t.co/IC1WxdjbQg",fr,fr
"@Nromanillos @DevoxxFR @jlboudart Ooops je voulais bien entendu écrire @nromanetti, l'auto-complétion de twitter a été créatif :)",fr,fr
"@framiere @DevoxxFR @jlboudart @framiere merçi pour la mentionne mais je suis désolé, je ne suis pas le personne de ton présentation. :)",fr,fr
RT @framiere: @DevoxxFR Je suis chaque année épaté par ce que toute l'équipe réalise. Quel succès ! Encore une fois mille mercis pour votre…,fr,fr
"Les slides de l'université @devoxxfr ""Apache Kafka, de haut en bas"" avec @jlboudart et @Nromanillos sont ici https://t.co/IC1WxdjbQg",fr,fr
@DevoxxFR Je suis chaque année épaté par ce que toute l'équipe réalise. Quel succès ! Encore une fois mille mercis… https://t.co/P2jBv0xKPy,fr,fr
"RT @altolabs: quand @collignont et @AlexisD54 présentent leur passage de Java 8 à Java 11 sur un gros projet à @DevoxxFR, ça intéresse pas…",fr,fr
"The slides of ""Apache Kafka, patterns/anti-patterns"" we did at #devoxxfr with @jlboudart are here: https://t.co/xRlJ9rmICP",en,en
"@DuchessFounder @DevoxxFR You're french is good, and this idea is very good 👍",en,en
"@Fraise_des_bois @DevoxxFR Pourquoi pas! Quand je ne peut pas attendre moi-meme, je vois aide! (Sorry for my bad french.)",fr,fr
"Bon beh je confirme que le sac de #devoxxfr est de bien meilleure qualité que l’année dernière, Nala l’a déjà adopt… https://t.co/2arbluevxK",fr,fr
L'année prochaine @DevoxxFR  ? https://t.co/bq9Tq3OQdO,fr,fr
"Coffee talk at Bonitasoft RT @jumege : Instead of making us wait for the video from last week's #devoxxfr,… https://t.co/Yk7u2AUt7X",en,en
"[#Blog] La #WeTribu était présente à @DevoxxFR. Découvrez cette semaine les retours d'@almorelle, @KolaczAlexandre,… https://t.co/TjvSuHeyUx",fr,fr
"RT @SiegfriedEhret: Bonjour ! Bien reposé·es après #DevoxxFR ?

Voilà les liens du TIA sur @sveltejs et sapper: 
- Slides: https://t.co/rpm…",fr,fr
"The slides of my #DevoxxFR tools in action: ""When Open-Source comes to the rescue of API's security"". @DevoxxFR… https://t.co/2NkvsCNfFf",en,en
"RT @XebiaFr: Après #DevoxxFr, on fait quoi ? La réponse est dans le Cal'Tech 🗓 ! Notre calendrier des temps forts #Tech, conçu par nos team…",fr,fr
RT @Mastro1970: “Streams are your persistence model” @DevoxxFR  @apachekafka @avery_neil .. great!!! https://t.co/WwmzRkNUan,en,en
RT @JulienTopcu: Et si vous voulez aller plus loin il y a ce super article de #spring sur les intégrations de sécurité entre #Angular 5 et…,fr,fr
RT @JPeachseed: Voici les slides de mon #TIA “Pimp up your Spring Batch en streaming avec Spring Cloud Data Flow et Kafka” https://t.co/cI8…,en,en
RT @paulp_si: #Michelin en force a #devoxxFR https://t.co/8FEHN3ww8d,en,fr
@agoncal @DevoxxFR @romainguy @chethaase I'm sure we'll catch up soon. It was a bit of a quick trip for me as I was… https://t.co/V6yo6g0LJH,en,en
@agoncal @DevoxxFR @speakjava @romainguy Sorry you missed us. I remembered to put the talk on my calendar so I mana… https://t.co/gyDcKBpLSP,en,en
Back from @DevoxxFR and just realized that I totally missed @speakjava @romainguy @chethaase and many more #Sad,en,en
"RT @icaretechcom: ⚡️ AEKLYS x BRED FACTORY ⚡️
Retrouvez notre bague connectée #aeklysbystarck sur le stand de la @BredFactory au @DevoxxFra…",fr,fr
"RT @BrunoLavit: Dernière journée à @DevoxxFR 2019 et quelques photos ici : https://t.co/RvJJW88pjs
Merci encore @jfrog pour l'invitation ;)…",fr,fr
RT @ptibulle: Le ❤️a ses ReasonML par @AmelieBenoit33 à #DevoxxFr en #sketchnote https://t.co/2hLcLEgNUH,unknown,fr
"RT @BenjaminGakic: Après #devoxxfr le réconfort @Chatel_Officiel aux #PortesduSoleil.
Merci à toute l'équipe de @DevoxxFR pour savoir assur…",fr,fr
Hey #devoxxfr here are the slides and code of my presentation about #fulltextsearch https://t.co/NEJb6Pft9B,en,en
RT @zengularity: Merci @DevoxxFR pour les super rencontres et les discussions très riches lors de cette édition 2019 ! À l'année prochaine…,fr,fr
"Instead of making us wait for the video from last week's #devoxxfr, @baptistemesta redid his presentation for the t… https://t.co/HAmRZsodqe",en,en
"RT @julienrenaux: And it is a wrap! @ilaborie and I spent 3 hours with an amazing audience sharing #WebComponents, #litElement and @stencil…",en,en
"RT @RemiForaxOff: Si vous avez l'intention de venir à mon talk ""Kata Retrospective Java 11"" à @DevoxxFR , n'oubliez pas de faire le kata av…",unknown,fr
My old #DevoxxFR #sketchnotes on #architecture : https://t.co/UlkJwSY9lG,en,en
@care_ease il n'y a qu'a suivre les bons #hashtags ca te donnera une idée et puis les vidéos vont arriver vite !  #devoxxfr,fr,fr
@florpeliere @bootis @DevoxxFR 🤗🤗,unknown,nl
RT @sunsengdavidtan: Thanks to all the @RedHat_France team at the booth. The booth was shining during the 3 days at #devoxxfr. 🤩 Kudos to t…,en,en
@Audrey_Neveu @bootis @DevoxxFR Oui ... 😳 La prochaine fois tu auras le double 😉,fr,fr
mon collègue rentre de #devoxxfr et il me dit ce matin qu'il vient pas travailler qu'il est malade :( mais j'attends la retro moi !!!!,fr,fr
RT @manuremy: Enseignement de #DevoxxFr : encore peu de #Kubernetes en Prod malgré le matraquage des grands acteurs du Cloud qui ont tout à…,fr,fr
"Premier Atelier #sketchnote aujourd'hui ! Avec un peu de chance, j'arriverai à, faire aussi bien qu'… https://t.co/ZAQwlbTsfH",fr,fr
@florpeliere @bootis 😂 toi t'avais qu'à venir me faire un bisou pendant @DevoxxFR d'abord !,fr,fr
"RT @cpoissonnier: Quand la recherche est invitée à #DevoxxFR, ça donne un talk super inspirant sur les tests : extreme mutation et tests am…",fr,fr
"Merci encore à toute l'équipe @DevoxxFR pour leur accueil et l'organisation ! :-)
Ma présentation du projet… https://t.co/u19IShOStW",fr,fr
Merci @DevoxxFR pour les super rencontres et les discussions très riches lors de cette édition 2019 ! À l'année pro… https://t.co/IlrpBrqzKd,fr,fr
"RT @wildagsx: Le @DevoxxFR 2019 est terminé, un grand cru !
Merci les gars :).
Un petit (long :p) résumé de comment je l'ai vécu :  https:/…",fr,fr
"@fteychene Au fait, qui a gagné la course à la performance ? On a pas eu le classement final je crois 😊 #DevoxxFR",fr,fr
RT @BouardC: Démarrer la journée au #Devoxxfr en composant sa propre musique sur le stand @ApsideGroupe !! J’ADORE :D #meetapside https://t…,fr,fr
RT @Citrouille86: Ça mix à @ApsideGroupe #meetapside #DevoxxFR https://t.co/5OIvXZKxme,en,fr
RT @jhukosh: Wilders playing real good music @DevoxxFR on @ApsideGroupe stand !! https://t.co/SkSoCxL0HX,en,en
RT @GuiF007: Sans doute une des activités les plus oufs de ce #DevoxxFR. Y’a vraiment de quoi faire niveau création musicale avec ce carré…,fr,fr
"RT @ApsideGroupe: [#MeetApside📍@DevoxxFR]
Elie est notre dernier gagnant de notre tirage au sort et repart avec son enceinte Rubik’s Cube,…",fr,fr
"RT @ptr78: Présentation de la mutation et de l'amplification de test par Caroline Landry, y a plus qu'à...tester #stamp #DevoxxFR https://t…",en,fr
I just published the slides of my #DevoxxFR tools in action: Construire son JDK en 10 étapes. Enjoy! https://t.co/MD6iZrq6YP,en,en
@DevoxxFR Ce serait tellement bien 😍,fr,nl
@collignont @Stephan007 @Devoxx @gunnarmorling @DevoxxFR @lescastcodeurs Good luck we believe in you guys 😎,en,en
"Les slides de ma présentations ""Mot de passe oublié ? Plus jamais avec WebAuthn"" : https://t.co/7XGDCtHZ9M 
Les dém… https://t.co/dJwXdAaPHz",fr,fr
@Stephan007 @Devoxx @idriss_neumann @gunnarmorling @DevoxxFR @lescastcodeurs What a challenge for us ! English are… https://t.co/42tjkvY0m0,en,en
RT @LagardeSarpy: Après avoir eu la photo de la team @GroupeBPCE au #devoxxfr semaine dernière avec @manuremy @RBitard  @StephaneYhuel @joh…,fr,fr
Après avoir eu la photo de la team @GroupeBPCE au #devoxxfr semaine dernière avec @manuremy @RBitard… https://t.co/pRS5rkV2IB,fr,fr
RT @riduidel: Devoxxfr – du réactif au service du pneu connecté https://t.co/StRUd7Oyod,en,fr
"@idriss_neumann @DevoxxFR Ok, so IIUC, #Deptective is used here to flag the usage of any unwanted APIs while still… https://t.co/V2E3n0WOTx",en,en
RT @gunnarmorling: Woah -- Seems someone mentioned #Deptective 🕵️‍♀️ in their talk at @DevoxxFR!  Looks like this was discussing a very int…,en,en
"@Devoxx @collignont @idriss_neumann @gunnarmorling @DevoxxFR @lescastcodeurs If interested, the Devoxx Belgium CFP opens end of May!",en,en
@collignont @idriss_neumann @gunnarmorling @DevoxxFR @lescastcodeurs Could you do this session in English for Devoxx Belgium? 😎✌️,en,en
RT @KajinRashid: Proud to have been a #redcoat at #devoxxfr. #greatteam #newfamily 💖😎 https://t.co/y8tty2pswU,en,en
RT @NicoPrudhomme: Do you really know if your next refactoring/feature/changes/... will break your performance ? No ? perhaps ? this talk i…,en,en
"RT @Alexandre_Roman: #DevoxxFR is over 😕
A great event, where I met a lot of people, all curious about #CloudNative apps and how to build a…",en,en
"RT @Alexandre_Roman: Thank you so much everyone for attending my talk at #DevoxxFr, about #Kubernetes &amp; #Docker from a security perspective…",en,en
RT @idriss_neumann: Use #deptective with #maven or #gradle to anticipate the breaking changes with the #Java apis on the greater versions.…,en,en
"RT @juuduu: Venez sur le booth @clever_cloud à @DevoxxFR ! On a des t-shirts, des stylos et un produit incroyable à vous montrer ! https://…",fr,fr
"RT @juliendubois: Les slides de ma session ""créer et développer une communauté Open Source"" à Devoxx France 2019 sont en ligne:
https://t.c…",fr,fr
RT @elomekoue: Face processing with computer vision at #DevoxxFR https://t.co/MbaFlKW9na,en,en
RT @_jonathancoyle_: Congrats to our #mureXperience winners! Join us tomorrow on our #devoxxfr stand to meet our developers and get a chanc…,en,en
"Vu la bonne conf sur @sveltejs à #DevoxxFR , mais je n’ai pas accroché 🙄. Faut ptet que je leur laisse une seconde… https://t.co/bsBlVqqJh9",fr,fr
"RT @KajinRashid: @nsphung et @yaourtcorp vous parlent du reactive ""jammed"" architecture à #DevoxxFR #RealTime https://t.co/s6pVSJWRya",unknown,fr
"RT @BenoitJonathas: ""Commencez par un monolithe et découpez-le quand vos sous-domaines  deviennent stables et évidents"" @cyriux #DevoxxFr h…",fr,fr
RT @Casden_IT: @LagardeSarpy @aureliajaeger @Casden_BP @BredFactory @InformatiqueBP @89C3 merci à tous d’avoir rendu possible cette  photo…,en,fr
RT @idriss_neumann: @gunnarmorling @DevoxxFR Pi @collignont :p,unknown,en
@idriss_neumann @gunnarmorling @DevoxxFR Yes we heard this at @lescastcodeurs and we think it will be a very nice t… https://t.co/t9umeAwlhF,en,en
"@hsablonniere @manekinekko @DevoxxFR Top, merci! 🙂",en,nl
@gunnarmorling @DevoxxFR It was mainly an exhaustive feedback about the problems seen during an update of a big and… https://t.co/h2dlhZcZHJ,en,en
